id,name,winningbid,metersread
1138,2022 Cat 289D3 Two-Speed High Flow XPS Compact Track Loader,"US $80,000",542 Hours
1139,2012 Cat 246C Two-Speed Skid Steer Loader,"US $25,000",924 Hours
1140,2012 Cat 246C Two-Speed Skid Steer Loader,"US $26,500",699 Hours
1141,2012 Cat 246C Two-Speed Skid Steer Loader,"US $26,500",634 Hours
1142,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,500",710 Hours
1143,2022 Cat 289D3 Two-Speed High Flow XPS Compact Track Loader,"US $78,000",686 Hours
1144,Cat 140G Motor Grader,"US $44,000",NONE
1145,2012 Cat 246C Two-Speed Skid Steer Loader,"US $24,500",875 Hours
1146,2005 Cat 303 CR Mini Excavator,"US $18,500","4,742 Hours"
1147,2017 Cat 305.5E2 CR Mini Excavator,"US $35,000","1,943 Hours"
1148,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,950","1,016 Hours"
1149,2013 Cat 246C Skid Steer Loader,"US $11,000","4,977 Hours"
1150,2012 Cat 246C Two-Speed Skid Steer Loader,"US $30,000",796 Hours
1151,2022 Cat 289D3 Compact Track Loader,"US $84,000",169 Hours
1152,2016 Cat 926M High Lift Wheel Loader,"US $67,500","10,843 Hours"
1153,2019 Cat 262D Skid Steer Loader,"US $22,000","6,730 Hours"
1154,2012 Cat 320E Tracked Excavator,"US $88,000","4,895 Hours"
1155,1997 Cat 416C 4x4 Backhoe Loader,"US $26,500","2,305 Hours"
1156,2004 Cat TH460B Telehandler,"US $31,000",NONE
1157,2018 Cat 311F LRR Tracked Excavator,"US $70,000","2,217 Hours"
1158,2009 Cat 928H Wheel Loader,"US $52,000","9,522 Hours"
1159,2011 Cat 329DL Tracked Excavator,"US $60,000","5,670 Hours"
1160,2020 Cat 262D3 Two-Speed Skid Steer Loader,"US $32,000","1,210 Hours"
1161,2004 Cat 420DIT 4x4 Backhoe Loader,"US $30,000",577 Hours
1162,1983 Cat V50C 5000 lb Cushion Tire Forklift,"US $2,500",NONE
1163,2006 Cat CS533C Smooth Drum Compactor,"US $37,000","4,980 Hours"
1164,2003 Cat 320CL Tracked Excavator,"US $59,000","7,707 Hours"
1165,2006 Cat D6R XL Series III Crawler Dozer,"US $80,000","13,722 Hours"
1166,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,950",768 Hours
1167,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,950",758 Hours
1168,2012 Cat 246C Two-Speed Skid Steer Loader,"US $32,500",575 Hours
1169,2010 Cat 329DL Tracked Excavator,"US $52,000","12,752 Hours"
1170,1993 Cat 140G Motor Grader,"US $55,000","16,805 Hours"
1171,Cat 637G Motor Scraper,"US $65,000","52,545 Hours"
1172,1993 Cat 963 Crawler Loader,"US $26,000","13,113 Hours"
1173,2016 Cat 308E2 CR Mini Excavator,"US $65,000","1,885 Hours"
1174,2012 Cat 246C Two-Speed Skid Steer Loader,"US $28,000",691 Hours
1175,2012 Cat 246C Two-Speed Skid Steer Loader,"US $28,000",899 Hours
1176,1972 Cat D7F Crawler Dozer (Inoperable),"US $5,100",NONE
1177,2015 Cat 308E2 CR Tracked Excavator,"US $51,000","2,537 Hours"
1178,2013 Cat 246C Two-Speed Skid Steer Loader,"US $29,000",655 Hours
1179,2013 Cat 336ELH Tracked Excavator,"US $98,000","7,588 Hours"
1180,2011 Cat 299C Two-Speed High Flow XPS Compact Track Loader,"US $23,000","3,893 Hours"
1181,2000 Cat 966G Wheel Loader,"US $51,000","22,766 Hours"
1182,2018 Cat CB1.8 Double Drum Roller,"US $28,000",236 Hours
1183,2005 Cat 330CL Tracked Excavator,"US $59,000","13,068 Hours"
1184,1998 Cat 950G Wheel Loader,"US $70,000","14,889 Hours"
1185,2021 Cat 289D3 Two-Speed Compact Track Loader,"US $50,000",998 Hours
1186,2007 Cat D6N LGP Crawler Dozer,"US $51,000","10,663 Hours"
1187,2013 Cat 320EL Tracked Excavator,"US $65,000","6,124 Hours"
1188,2006 Cat D6N LGP Crawler Dozer,"US $65,000","9,877 Hours"
1189,1978 Cat 12G Motor Grader,"US $27,000","9,694 Hours"
1190,2012 Cat 289C2 Two-Speed High Flow XPS Compact Track Loader,"US $20,000","6,794 Hours"
1191,1996 Cat CP-563C Padfoot Drum Compactor,"US $54,500","8,612 Hours"
1192,1999 Cat 140H VHP Motor Grader,"US $69,000","29,396 Hours"
1193,2006 Cat CS-323C Smooth Drum Compactor,"US $26,500","1,309 Hours"
1194,2003 Cat 725 Articulated Dump Truck,"US $82,000","14,591 Hours"
1195,1997 Cat CS-563C Smooth Drum Compactor,"US $59,500","6,553 Hours"
1196,2021 Cat 289D3 Two-Speed Compact Track Loader,"US $46,000","1,568 Hours"
1197,2021 Cat 299D3 Two-Speed High Flow XPS Compact Track Loader,"US $63,000","1,450 Hours"
1198,1996 Cat 120 Motor Grader,"US $47,000",195 Hours
1199,2000 Cat CS-323C Smooth Drum Compactor,"US $22,500","4,815 Hours"
1200,2007 Cat 330DL Tracked Excavator,"US $55,000",NONE
1201,2019 Cat 308CR Tracked Excavator,"US $82,000","1,973 Hours"
1202,2017 Cat 962M Wheel Loader,"US $59,000","10,944 Hours"
1203,1985 Cat 627B Motor Scraper,"US $31,500","2,439 Hours"
1204,1979 Cat 627B Motor Scraper (Inoperable),"US $3,400","13,855 Hours"
1205,1986 Cat 627B Motor Scraper,"US $31,500","23,097 Hours"
1206,1985 Cat 627B Motor Scraper,"US $37,000","1,686 Hours"
1207,2021 Cat 906M Wheel Loader,"US $84,000",384 Hours
1208,2008 Cat 324D FM High Walker Heel Boom Log Loader,"US $28,000","19,611 Hours"
1209,2008 Cat D6T XW Crawler Dozer,"US $151,000","5,292 Hours"
1210,2016 Cat D6K2 LGP Crawler Dozer,"US $129,000","4,980 Hours"
1211,2019 Cat D6N LGP Crawler Dozer,"US $116,000","6,760 Hours"
1212,2020 Cat D5K2 LGP Crawler Dozer,"US $170,000","1,880 Hours"
1213,2008 Cat 773F Haul Truck,"US $156,000","33,951 Hours"
1214,2012 Cat 772 Haul Truck,"US $136,000","17,702 Hours"
1215,2014 Cat 772G Haul Truck,"US $180,000","13,577 Hours"
1216,2013 Cat 730 Articulated Dump Truck,"US $185,000","7,742 Hours"
1217,2014 Cat 772G Haul Truck,"US $184,000","13,789 Hours"
1218,2014 Cat 773G Haul Truck,"US $182,000","16,463 Hours"
1219,2014 Cat 772G Haul Truck,"US $234,000","14,397 Hours"
1220,2001 Cat 627G Motor Scraper,"US $202,000","16,240 Hours"
1221,2018 Cat 926M Wheel Loader,"US $116,000","3,049 Hours"
1222,2002 Cat 815F Soil Compactor,"US $148,000","23,311 Hours"
1223,2003 Cat 623G Elevating Motor Scraper,"US $176,000","4,021 Hours"
1224,2013 Cat 730 6000 gal 6x6 Water Wagon,"US $132,000","12,024 Hours"
1225,2002 Cat 815F Soil Compactor,"US $131,000","22,201 Hours"
1226,2003 Cat 623G Elevating Motor Scraper,"US $159,000","23,946 Hours"
1227,2003 Cat 623G Elevating Motor Scraper,"US $153,000","22,782 Hours"
1228,2015 Cat PL61 Pipelayer,"US $98,000",927 Hours
1229,2005 Cat 615C Series II Motor Scraper,"US $96,000","3,685 Hours"
1230,2019 Cat 730 Articulated Dump Truck,"US $366,000","3,008 Hours"
1231,2019 Cat 323 Tracked Excavator,"US $225,000","1,135 Hours"
1232,2017 Cat D8T Crawler Dozer,"US $505,000","2,435 Hours"
1233,2017 Cat D8T Crawler Dozer,"US $545,000",916 Hours
1234,2017 Cat D6T LGP Crawler Dozer,"US $279,000","3,695 Hours"
1235,2017 Cat D6T LGP Crawler Dozer,"US $246,000","3,438 Hours"
1236,2016 Cat AP1055F Track Asphalt Paver,"US $132,000","4,168 Hours"
1237,2003 Cat D11R Crawler Dozer,"US $101,000","37,707 Hours"
1238,2018 Cat 986K Wheel Loader,"US $425,000","6,887 Hours"
1239,2013 Cat D8T Crawler Dozer,"US $291,000","4,388 Hours"
1240,2011 Cat 420E 4x4 Backhoe Loader,"US $52,000","5,227 Hours"
1241,2020 Cat 236D3 Skid Steer Loader,"US $20,000","6,314 Hours"
1242,2017 Cat 242D Skid Steer Loader,"US $21,500","2,034 Hours"
1243,2017 Cat 259D Two-Speed Compact Track Loader,"US $34,000",934 Hours
1244,2015 Cat 226B3 Skid Steer Loader,"US $17,500","1,711 Hours"
1245,2019 Cat 304E2 CR Mini Excavator,"US $41,000","1,099 Hours"
1246,2018 Cat 259D Two-Speed Compact Track Loader,"US $57,000",349 Hours
1247,2008 Cat 305C Mini Excavator,"US $27,000","5,689 Hours"
1248,2012 Cat 305E CR Mini Excavator,"US $30,500","3,430 Hours"
1249,2005 Cat D4G XL Crawler Dozer,"US $29,000","6,143 Hours"
1250,2018 Cat 303E CR Mini Excavator,"US $23,000",NONE
1251,2012 Cat 246C Two-Speed Skid Steer Loader,"US $23,500","1,016 Hours"
1252,2011 Cat 320DL Tracked Excavator,"US $63,000","10,130 Hours"
1253,2012 Cat 304E CR Mini Excavator,"US $32,500",NONE
1254,2014 Cat 299D Two-Speed Compact Track Loader,"US $56,000",874 Hours
1255,2014 Cat 336ELH Track Excavator,"US $69,000","9,698 Hours"
1256,2015 Cat 308E2 CR Tracked Excavator,"US $55,000","1,275 Hours"
1257,2012 Cat 246C Two-Speed Skid Steer Loader,"US $26,500",698 Hours
1258,2022 Cat 289D3 Two-Speed High Flow XPS Compact Track Loader,"US $80,000",542 Hours
1259,2012 Cat 246C Two-Speed Skid Steer Loader,"US $25,000",924 Hours
1260,2012 Cat 246C Two-Speed Skid Steer Loader,"US $26,500",699 Hours
1261,2012 Cat 246C Two-Speed Skid Steer Loader,"US $26,500",634 Hours
1262,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,500",710 Hours
1263,2022 Cat 289D3 Two-Speed High Flow XPS Compact Track Loader,"US $78,000",686 Hours
1264,Cat 140G Motor Grader,"US $44,000",NONE
1265,2012 Cat 246C Two-Speed Skid Steer Loader,"US $24,500",875 Hours
1266,2005 Cat 303 CR Mini Excavator,"US $18,500","4,742 Hours"
1267,2017 Cat 305.5E2 CR Mini Excavator,"US $35,000","1,943 Hours"
1268,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,950","1,016 Hours"
1269,2013 Cat 246C Skid Steer Loader,"US $11,000","4,977 Hours"
1270,2012 Cat 246C Two-Speed Skid Steer Loader,"US $30,000",796 Hours
1271,2022 Cat 289D3 Compact Track Loader,"US $84,000",169 Hours
1272,2016 Cat 926M High Lift Wheel Loader,"US $67,500","10,843 Hours"
1273,2019 Cat 262D Skid Steer Loader,"US $22,000","6,730 Hours"
1274,2012 Cat 320E Tracked Excavator,"US $88,000","4,895 Hours"
1275,1997 Cat 416C 4x4 Backhoe Loader,"US $26,500","2,305 Hours"
1276,2004 Cat TH460B Telehandler,"US $31,000",NONE
1277,2018 Cat 311F LRR Tracked Excavator,"US $70,000","2,217 Hours"
1278,2009 Cat 928H Wheel Loader,"US $52,000","9,522 Hours"
1279,2011 Cat 329DL Tracked Excavator,"US $60,000","5,670 Hours"
1280,2020 Cat 262D3 Two-Speed Skid Steer Loader,"US $32,000","1,210 Hours"
1281,2004 Cat 420DIT 4x4 Backhoe Loader,"US $30,000",577 Hours
1282,1983 Cat V50C 5000 lb Cushion Tire Forklift,"US $2,500",NONE
1283,2006 Cat CS533C Smooth Drum Compactor,"US $37,000","4,980 Hours"
1284,2003 Cat 320CL Tracked Excavator,"US $59,000","7,707 Hours"
1285,2006 Cat D6R XL Series III Crawler Dozer,"US $80,000","13,722 Hours"
1286,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,950",768 Hours
1287,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,950",758 Hours
1288,2012 Cat 246C Two-Speed Skid Steer Loader,"US $32,500",575 Hours
1289,2010 Cat 329DL Tracked Excavator,"US $52,000","12,752 Hours"
1290,1993 Cat 140G Motor Grader,"US $55,000","16,805 Hours"
1291,Cat 637G Motor Scraper,"US $65,000","52,545 Hours"
1292,1993 Cat 963 Crawler Loader,"US $26,000","13,113 Hours"
1293,2016 Cat 308E2 CR Mini Excavator,"US $65,000","1,885 Hours"
1294,2012 Cat 246C Two-Speed Skid Steer Loader,"US $28,000",691 Hours
1295,2012 Cat 246C Two-Speed Skid Steer Loader,"US $28,000",899 Hours
1296,1972 Cat D7F Crawler Dozer (Inoperable),"US $5,100",NONE
1297,2015 Cat 308E2 CR Tracked Excavator,"US $51,000","2,537 Hours"
1298,2013 Cat 246C Two-Speed Skid Steer Loader,"US $29,000",655 Hours
1299,2013 Cat 336ELH Tracked Excavator,"US $98,000","7,588 Hours"
1300,2011 Cat 299C Two-Speed High Flow XPS Compact Track Loader,"US $23,000","3,893 Hours"
1301,2000 Cat 966G Wheel Loader,"US $51,000","22,766 Hours"
1302,2018 Cat CB1.8 Double Drum Roller,"US $28,000",236 Hours
1303,2005 Cat 330CL Tracked Excavator,"US $59,000","13,068 Hours"
1304,1998 Cat 950G Wheel Loader,"US $70,000","14,889 Hours"
1305,2021 Cat 289D3 Two-Speed Compact Track Loader,"US $50,000",998 Hours
1306,2007 Cat D6N LGP Crawler Dozer,"US $51,000","10,663 Hours"
1307,2013 Cat 320EL Tracked Excavator,"US $65,000","6,124 Hours"
1308,2006 Cat D6N LGP Crawler Dozer,"US $65,000","9,877 Hours"
1309,1978 Cat 12G Motor Grader,"US $27,000","9,694 Hours"
1310,2012 Cat 289C2 Two-Speed High Flow XPS Compact Track Loader,"US $20,000","6,794 Hours"
1311,1996 Cat CP-563C Padfoot Drum Compactor,"US $54,500","8,612 Hours"
1312,1999 Cat 140H VHP Motor Grader,"US $69,000","29,396 Hours"
1313,2006 Cat CS-323C Smooth Drum Compactor,"US $26,500","1,309 Hours"
1314,2003 Cat 725 Articulated Dump Truck,"US $82,000","14,591 Hours"
1315,1997 Cat CS-563C Smooth Drum Compactor,"US $59,500","6,553 Hours"
1316,2021 Cat 289D3 Two-Speed Compact Track Loader,"US $46,000","1,568 Hours"
1317,2021 Cat 299D3 Two-Speed High Flow XPS Compact Track Loader,"US $63,000","1,450 Hours"
1318,1996 Cat 120 Motor Grader,"US $47,000",195 Hours
1319,2000 Cat CS-323C Smooth Drum Compactor,"US $22,500","4,815 Hours"
1320,2007 Cat 330DL Tracked Excavator,"US $55,000",NONE
1321,2019 Cat 308CR Tracked Excavator,"US $82,000","1,973 Hours"
1322,2017 Cat 962M Wheel Loader,"US $59,000","10,944 Hours"
1323,1985 Cat 627B Motor Scraper,"US $31,500","2,439 Hours"
1324,1979 Cat 627B Motor Scraper (Inoperable),"US $3,400","13,855 Hours"
1325,1986 Cat 627B Motor Scraper,"US $31,500","23,097 Hours"
1326,1985 Cat 627B Motor Scraper,"US $37,000","1,686 Hours"
1327,2021 Cat 906M Wheel Loader,"US $84,000",384 Hours
1328,2008 Cat 324D FM High Walker Heel Boom Log Loader,"US $28,000","19,611 Hours"
1329,2008 Cat D6T XW Crawler Dozer,"US $151,000","5,292 Hours"
1330,2016 Cat D6K2 LGP Crawler Dozer,"US $129,000","4,980 Hours"
1331,2019 Cat D6N LGP Crawler Dozer,"US $116,000","6,760 Hours"
1332,2020 Cat D5K2 LGP Crawler Dozer,"US $170,000","1,880 Hours"
1333,2008 Cat 773F Haul Truck,"US $156,000","33,951 Hours"
1334,2012 Cat 772 Haul Truck,"US $136,000","17,702 Hours"
1335,2014 Cat 772G Haul Truck,"US $180,000","13,577 Hours"
1336,2013 Cat 730 Articulated Dump Truck,"US $185,000","7,742 Hours"
1337,2014 Cat 772G Haul Truck,"US $184,000","13,789 Hours"
1338,2014 Cat 773G Haul Truck,"US $182,000","16,463 Hours"
1339,2014 Cat 772G Haul Truck,"US $234,000","14,397 Hours"
1340,2001 Cat 627G Motor Scraper,"US $202,000","16,240 Hours"
1341,2018 Cat 926M Wheel Loader,"US $116,000","3,049 Hours"
1342,2002 Cat 815F Soil Compactor,"US $148,000","23,311 Hours"
1343,2003 Cat 623G Elevating Motor Scraper,"US $176,000","4,021 Hours"
1344,2013 Cat 730 6000 gal 6x6 Water Wagon,"US $132,000","12,024 Hours"
1345,2002 Cat 815F Soil Compactor,"US $131,000","22,201 Hours"
1346,2003 Cat 623G Elevating Motor Scraper,"US $159,000","23,946 Hours"
1347,2003 Cat 623G Elevating Motor Scraper,"US $153,000","22,782 Hours"
1348,2015 Cat PL61 Pipelayer,"US $98,000",927 Hours
1349,2005 Cat 615C Series II Motor Scraper,"US $96,000","3,685 Hours"
1350,2019 Cat 730 Articulated Dump Truck,"US $366,000","3,008 Hours"
1351,2019 Cat 323 Tracked Excavator,"US $225,000","1,135 Hours"
1352,2017 Cat D8T Crawler Dozer,"US $505,000","2,435 Hours"
1353,2017 Cat D8T Crawler Dozer,"US $545,000",916 Hours
1354,2017 Cat D6T LGP Crawler Dozer,"US $279,000","3,695 Hours"
1355,2017 Cat D6T LGP Crawler Dozer,"US $246,000","3,438 Hours"
1356,2016 Cat AP1055F Track Asphalt Paver,"US $132,000","4,168 Hours"
1357,2003 Cat D11R Crawler Dozer,"US $101,000","37,707 Hours"
1358,2018 Cat 986K Wheel Loader,"US $425,000","6,887 Hours"
1359,2013 Cat D8T Crawler Dozer,"US $291,000","4,388 Hours"
1360,2011 Cat 420E 4x4 Backhoe Loader,"US $52,000","5,227 Hours"
1361,2020 Cat 236D3 Skid Steer Loader,"US $20,000","6,314 Hours"
1362,2017 Cat 242D Skid Steer Loader,"US $21,500","2,034 Hours"
1363,2017 Cat 259D Two-Speed Compact Track Loader,"US $34,000",934 Hours
1364,2015 Cat 226B3 Skid Steer Loader,"US $17,500","1,711 Hours"
1365,2019 Cat 304E2 CR Mini Excavator,"US $41,000","1,099 Hours"
1366,2018 Cat 259D Two-Speed Compact Track Loader,"US $57,000",349 Hours
1367,2008 Cat 305C Mini Excavator,"US $27,000","5,689 Hours"
1368,2012 Cat 305E CR Mini Excavator,"US $30,500","3,430 Hours"
1369,2005 Cat D4G XL Crawler Dozer,"US $29,000","6,143 Hours"
1370,2018 Cat 303E CR Mini Excavator,"US $23,000",NONE
1371,2012 Cat 246C Two-Speed Skid Steer Loader,"US $23,500","1,016 Hours"
1372,2011 Cat 320DL Tracked Excavator,"US $63,000","10,130 Hours"
1373,2012 Cat 304E CR Mini Excavator,"US $32,500",NONE
1374,2014 Cat 299D Two-Speed Compact Track Loader,"US $56,000",874 Hours
1375,2014 Cat 336ELH Track Excavator,"US $69,000","9,698 Hours"
1376,2015 Cat 308E2 CR Tracked Excavator,"US $55,000","1,275 Hours"
1377,2012 Cat 246C Two-Speed Skid Steer Loader,"US $26,500",698 Hours
1378,2022 Cat 289D3 Two-Speed High Flow XPS Compact Track Loader,"US $80,000",542 Hours
1379,2012 Cat 246C Two-Speed Skid Steer Loader,"US $25,000",924 Hours
1380,2012 Cat 246C Two-Speed Skid Steer Loader,"US $26,500",699 Hours
1381,2012 Cat 246C Two-Speed Skid Steer Loader,"US $26,500",634 Hours
1382,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,500",710 Hours
1383,2022 Cat 289D3 Two-Speed High Flow XPS Compact Track Loader,"US $78,000",686 Hours
1384,Cat 140G Motor Grader,"US $44,000",NONE
1385,2012 Cat 246C Two-Speed Skid Steer Loader,"US $24,500",875 Hours
1386,2005 Cat 303 CR Mini Excavator,"US $18,500","4,742 Hours"
1387,2017 Cat 305.5E2 CR Mini Excavator,"US $35,000","1,943 Hours"
1388,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,950","1,016 Hours"
1389,2013 Cat 246C Skid Steer Loader,"US $11,000","4,977 Hours"
1390,2012 Cat 246C Two-Speed Skid Steer Loader,"US $30,000",796 Hours
1391,2022 Cat 289D3 Compact Track Loader,"US $84,000",169 Hours
1392,2016 Cat 926M High Lift Wheel Loader,"US $67,500","10,843 Hours"
1393,2019 Cat 262D Skid Steer Loader,"US $22,000","6,730 Hours"
1394,2012 Cat 320E Tracked Excavator,"US $88,000","4,895 Hours"
1395,1997 Cat 416C 4x4 Backhoe Loader,"US $26,500","2,305 Hours"
1396,2004 Cat TH460B Telehandler,"US $31,000",NONE
1397,2018 Cat 311F LRR Tracked Excavator,"US $70,000","2,217 Hours"
1398,2009 Cat 928H Wheel Loader,"US $52,000","9,522 Hours"
1399,2011 Cat 329DL Tracked Excavator,"US $60,000","5,670 Hours"
1400,2020 Cat 262D3 Two-Speed Skid Steer Loader,"US $32,000","1,210 Hours"
1401,2004 Cat 420DIT 4x4 Backhoe Loader,"US $30,000",577 Hours
1402,1983 Cat V50C 5000 lb Cushion Tire Forklift,"US $2,500",NONE
1403,2006 Cat CS533C Smooth Drum Compactor,"US $37,000","4,980 Hours"
1404,2003 Cat 320CL Tracked Excavator,"US $59,000","7,707 Hours"
1405,2006 Cat D6R XL Series III Crawler Dozer,"US $80,000","13,722 Hours"
1406,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,950",768 Hours
1407,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,950",758 Hours
1408,2012 Cat 246C Two-Speed Skid Steer Loader,"US $32,500",575 Hours
1409,2010 Cat 329DL Tracked Excavator,"US $52,000","12,752 Hours"
1410,1993 Cat 140G Motor Grader,"US $55,000","16,805 Hours"
1411,Cat 637G Motor Scraper,"US $65,000","52,545 Hours"
1412,1993 Cat 963 Crawler Loader,"US $26,000","13,113 Hours"
1413,2016 Cat 308E2 CR Mini Excavator,"US $65,000","1,885 Hours"
1414,2012 Cat 246C Two-Speed Skid Steer Loader,"US $28,000",691 Hours
1415,2012 Cat 246C Two-Speed Skid Steer Loader,"US $28,000",899 Hours
1416,1972 Cat D7F Crawler Dozer (Inoperable),"US $5,100",NONE
1417,2015 Cat 308E2 CR Tracked Excavator,"US $51,000","2,537 Hours"
1418,2013 Cat 246C Two-Speed Skid Steer Loader,"US $29,000",655 Hours
1419,2013 Cat 336ELH Tracked Excavator,"US $98,000","7,588 Hours"
1420,2011 Cat 299C Two-Speed High Flow XPS Compact Track Loader,"US $23,000","3,893 Hours"
1421,2000 Cat 966G Wheel Loader,"US $51,000","22,766 Hours"
1422,2018 Cat CB1.8 Double Drum Roller,"US $28,000",236 Hours
1423,2005 Cat 330CL Tracked Excavator,"US $59,000","13,068 Hours"
1424,1998 Cat 950G Wheel Loader,"US $70,000","14,889 Hours"
1425,2021 Cat 289D3 Two-Speed Compact Track Loader,"US $50,000",998 Hours
1426,2007 Cat D6N LGP Crawler Dozer,"US $51,000","10,663 Hours"
1427,2013 Cat 320EL Tracked Excavator,"US $65,000","6,124 Hours"
1428,2006 Cat D6N LGP Crawler Dozer,"US $65,000","9,877 Hours"
1429,1978 Cat 12G Motor Grader,"US $27,000","9,694 Hours"
1430,2012 Cat 289C2 Two-Speed High Flow XPS Compact Track Loader,"US $20,000","6,794 Hours"
1431,1996 Cat CP-563C Padfoot Drum Compactor,"US $54,500","8,612 Hours"
1432,1999 Cat 140H VHP Motor Grader,"US $69,000","29,396 Hours"
1433,2006 Cat CS-323C Smooth Drum Compactor,"US $26,500","1,309 Hours"
1434,2003 Cat 725 Articulated Dump Truck,"US $82,000","14,591 Hours"
1435,1997 Cat CS-563C Smooth Drum Compactor,"US $59,500","6,553 Hours"
1436,2021 Cat 289D3 Two-Speed Compact Track Loader,"US $46,000","1,568 Hours"
1437,2021 Cat 299D3 Two-Speed High Flow XPS Compact Track Loader,"US $63,000","1,450 Hours"
1438,1996 Cat 120 Motor Grader,"US $47,000",195 Hours
1439,2000 Cat CS-323C Smooth Drum Compactor,"US $22,500","4,815 Hours"
1440,2007 Cat 330DL Tracked Excavator,"US $55,000",NONE
1441,2019 Cat 308CR Tracked Excavator,"US $82,000","1,973 Hours"
1442,2017 Cat 962M Wheel Loader,"US $59,000","10,944 Hours"
1443,1985 Cat 627B Motor Scraper,"US $31,500","2,439 Hours"
1444,1979 Cat 627B Motor Scraper (Inoperable),"US $3,400","13,855 Hours"
1445,1986 Cat 627B Motor Scraper,"US $31,500","23,097 Hours"
1446,1985 Cat 627B Motor Scraper,"US $37,000","1,686 Hours"
1447,2021 Cat 906M Wheel Loader,"US $84,000",384 Hours
1448,2008 Cat 324D FM High Walker Heel Boom Log Loader,"US $28,000","19,611 Hours"
1449,2008 Cat D6T XW Crawler Dozer,"US $151,000","5,292 Hours"
1450,2016 Cat D6K2 LGP Crawler Dozer,"US $129,000","4,980 Hours"
1451,2019 Cat D6N LGP Crawler Dozer,"US $116,000","6,760 Hours"
1452,2020 Cat D5K2 LGP Crawler Dozer,"US $170,000","1,880 Hours"
1453,2008 Cat 773F Haul Truck,"US $156,000","33,951 Hours"
1454,2012 Cat 772 Haul Truck,"US $136,000","17,702 Hours"
1455,2014 Cat 772G Haul Truck,"US $180,000","13,577 Hours"
1456,2013 Cat 730 Articulated Dump Truck,"US $185,000","7,742 Hours"
1457,2014 Cat 772G Haul Truck,"US $184,000","13,789 Hours"
1458,2014 Cat 773G Haul Truck,"US $182,000","16,463 Hours"
1459,2014 Cat 772G Haul Truck,"US $234,000","14,397 Hours"
1460,2001 Cat 627G Motor Scraper,"US $202,000","16,240 Hours"
1461,2018 Cat 926M Wheel Loader,"US $116,000","3,049 Hours"
1462,2002 Cat 815F Soil Compactor,"US $148,000","23,311 Hours"
1463,2003 Cat 623G Elevating Motor Scraper,"US $176,000","4,021 Hours"
1464,2013 Cat 730 6000 gal 6x6 Water Wagon,"US $132,000","12,024 Hours"
1465,2002 Cat 815F Soil Compactor,"US $131,000","22,201 Hours"
1466,2003 Cat 623G Elevating Motor Scraper,"US $159,000","23,946 Hours"
1467,2003 Cat 623G Elevating Motor Scraper,"US $153,000","22,782 Hours"
1468,2015 Cat PL61 Pipelayer,"US $98,000",927 Hours
1469,2005 Cat 615C Series II Motor Scraper,"US $96,000","3,685 Hours"
1470,2019 Cat 730 Articulated Dump Truck,"US $366,000","3,008 Hours"
1471,2019 Cat 323 Tracked Excavator,"US $225,000","1,135 Hours"
1472,2017 Cat D8T Crawler Dozer,"US $505,000","2,435 Hours"
1473,2017 Cat D8T Crawler Dozer,"US $545,000",916 Hours
1474,2017 Cat D6T LGP Crawler Dozer,"US $279,000","3,695 Hours"
1475,2017 Cat D6T LGP Crawler Dozer,"US $246,000","3,438 Hours"
1476,2016 Cat AP1055F Track Asphalt Paver,"US $132,000","4,168 Hours"
1477,2003 Cat D11R Crawler Dozer,"US $101,000","37,707 Hours"
1478,2018 Cat 986K Wheel Loader,"US $425,000","6,887 Hours"
1479,2013 Cat D8T Crawler Dozer,"US $291,000","4,388 Hours"
1480,2011 Cat 420E 4x4 Backhoe Loader,"US $52,000","5,227 Hours"
1481,2020 Cat 236D3 Skid Steer Loader,"US $20,000","6,314 Hours"
1482,2017 Cat 242D Skid Steer Loader,"US $21,500","2,034 Hours"
1483,2017 Cat 259D Two-Speed Compact Track Loader,"US $34,000",934 Hours
1484,2015 Cat 226B3 Skid Steer Loader,"US $17,500","1,711 Hours"
1485,2019 Cat 304E2 CR Mini Excavator,"US $41,000","1,099 Hours"
1486,2018 Cat 259D Two-Speed Compact Track Loader,"US $57,000",349 Hours
1487,2008 Cat 305C Mini Excavator,"US $27,000","5,689 Hours"
1488,2012 Cat 305E CR Mini Excavator,"US $30,500","3,430 Hours"
1489,2005 Cat D4G XL Crawler Dozer,"US $29,000","6,143 Hours"
1490,2018 Cat 303E CR Mini Excavator,"US $23,000",NONE
1491,2012 Cat 246C Two-Speed Skid Steer Loader,"US $23,500","1,016 Hours"
1492,2011 Cat 320DL Tracked Excavator,"US $63,000","10,130 Hours"
1493,2012 Cat 304E CR Mini Excavator,"US $32,500",NONE
1494,2014 Cat 299D Two-Speed Compact Track Loader,"US $56,000",874 Hours
