id,name,winningbid,metersread
377,2012 Cat 321DLCR Tracked Excavator,"US $72,000","3,311 Hours"
378,2005 Cat 385C Track Excavator,"US $32,000",NONE
379,2008 Cat 321D LCR Tracked Excavator,"US $56,000","9,445 Hours"
380,2002 Cat 345BL Tracked Excavator,"US $60,000","5,829 Hours"
381,2014 Cat 336E LH Tracked Excavator,"US $140,000","4,473 Hours"
382,2014 Cat 336EL Tracked Excavator,"US $132,000","6,059 Hours"
383,2018 Cat 316FL Track Excavator,"US $134,000",845 Hours
384,2019 Cat 315FLCR Tracked Excavator,"US $115,000","2,909 Hours"
385,2019 Cat 320 Tracked Excavator,"US $172,500","2,335 Hours"
386,2017 Cat 330FL Tracked Excavator,"US $114,000","5,753 Hours"
387,2016 Cat 349FL Tracked Excavator,"US $104,000","9,738 Hours"
388,2013 Cat 349ELVG Track Excavator,"US $110,000","6,696 Hours"
389,2014 Cat 320 EL Tracked Excavator,"US $122,000","4,522 Hours"
390,2017 Cat 330FL Tracked Excavator,"US $133,000","5,758 Hours"
391,2021 Cat 320 Tracked Excavator,"US $114,000","2,389 Hours"
392,2015 Cat 336 FL Tracked Excavator,"US $100,000","6,272 Hours"
393,2016 Cat 315FLCR Tracked Excavator,"US $122,000","4,239 Hours"
394,2013 Cat M322D Wheel Excavator,"US $101,000","4,299 Hours"
395,2017 Cat 330FL Tracked Excavator,"US $148,000","4,932 Hours"
396,2018 Cat 316FL Tracked Excavator,"US $103,000","3,543 Hours"
397,2016 Cat 318EL Tracked Excavator,"US $101,000","2,792 Hours"
398,2015 Cat 349FL Tracked Excavator,"US $131,000","1,726 Hours"
399,2017 Cat 316FL Tracked Excavator,"US $103,000","4,243 Hours"
400,2016 Cat 315FLCR Tracked Excavator,"US $102,000","4,525 Hours"
401,2017 Cat 323FL Tracked Excavator,"US $112,000","5,029 Hours"
402,2019 Cat 336 Tracked Excavator,"US $210,000","4,547 Hours"
403,2018 Cat 336FL Tracked Excavator,"US $129,000","7,042 Hours"
404,2018 Cat 336FL Tracked Excavator,"US $107,000","6,737 Hours"
405,2018 Cat 316FL Tracked Excavator,"US $110,000","3,776 Hours"
406,2018 Cat 320 Tracked Excavator,"US $140,000","4,315 Hours"
407,2017 Cat 349FL Tracked Excavator,"US $142,000","7,628 Hours"
408,2015 Cat 329FL Tracked Excavator,"US $131,000","4,614 Hours"
409,2016 Cat 336F L Tracked Excavator,"US $122,000","5,069 Hours"
410,2018 Cat 336FL Track Excavator,"US $120,000","6,292 Hours"
411,2016 Cat 336FL Tracked Excavator,"US $105,000","7,758 Hours"
412,2016 Cat 349FL Track Excavator,"US $132,500","7,608 Hours"
413,2017 Cat 336FL Tracked Excavator,"US $113,000","6,105 Hours"
414,2018 Cat 320 Tracked Excavator,"US $150,000","2,954 Hours"
415,2018 Cat 320 GC Tracked Excavator,"US $135,000","2,148 Hours"
416,2019 Cat 349FL Track Excavator,"US $151,000","6,466 Hours"
417,2019 Cat 336 Long Reach Tracked Excavator,"US $145,000","5,479 Hours"
418,2019 Cat 326 F L Tracked Excavator,"US $190,000","1,419 Hours"
419,2013 Cat 349EL Tracked Excavator,"US $127,500","7,256 Hours"
420,2018 Cat 349FL Tracked Excavator,"US $215,000","5,367 Hours"
421,Cat 336 Tracked Excavator,"US $300,000","2,441 Hours"
422,2019 Cat 336 Tracked Excavator,"US $300,000","1,391 Hours"
423,2019 Cat 330 Tracked Excavator,"US $180,000","3,286 Hours"
424,2016 Cat 374FL Tracked Excavator,"US $147,000","17,232 Hours"
425,2021 Cat 349 Tracked Excavator,"US $396,000","3,325 Hours"
426,2018 Cat 349F L Tracked Excavator,"US $190,000","6,163 Hours"
427,2019 Cat 320 Tracked Excavator,"US $120,000","1,420 Hours"
428,2015 Cat 374FL Tracked Excavator,"US $320,000","8,513 Hours"
429,2015 Cat 336F L Tracked Excavator,"US $125,000","3,552 Hours"
430,2014 Cat 320E L Tracked Excavator,"US $120,000","4,381 Hours"
431,Cat 303C CR Mini Excavator,"US $17,000","5,172 Hours"
432,Cat 320D L Tracked Excavator,"US $53,800","3,895 Hours"
433,2013 Cat 336E Tracked Excavator,"US $80,000","6,765 Hours"
434,2017 Cat 305E2CR Mini Excavator,"US $7,500",NONE
435,2006 Cat 304E Mini Excavator,"US $21,000",NONE
436,2016 Cat 305E2 Mini Excavator,"US $75,000","1,051 Hours"
437,2021 Cat 306-7CR Tracked Excavator,"US $99,000",159 Hours
438,2002 Cat 320C Tracked Excavator,"US $70,000","7,108 Hours"
439,2008 Cat 312C Tracked Excavator,"US $55,000",100 Hours
440,2018 Cat 336FL Tracked Excavator,"US $55,000",NONE
441,2014 Cat 308E Tracked Excavator,"US $80,000","1,660 Hours"
442,2015 Cat 308E2 CR Tracked Excavator,"US $68,500","1,470 Hours"
443,1996 Cat 315L Tracked Excavator,"US $45,000","8,488 Hours"
444,2000 Cat 365B Tracked Excavator,"US $97,000","8,732 Hours"
445,2011 Cat 303.5D Mini Excavator,"US $37,500","1,600 Hours"
446,2020 Cat 306 CR Tracked Excavator,"US $90,000",NONE
447,2018 Cat 335FL Tracked Excavator 4586.2 HR c/w: Ditching Bucket,"US $195,706","4,586 Hours"
448,2015 Cat 349FL Tracked Excavator,"US $130,000","11,407 Hours"
449,2021 Cat 316FL Tracked Excavator,"US $250,000",160 Hours
450,2015 Cat 323F L Tracked Excavator,"US $124,000","3,811 Hours"
451,2020 Cat 349FL Tracked Excavator,"US $385,000","4,194 Hours"
452,2016 Cat 312FGC Tracked Excavator,"US $135,000","3,305 Hours"
453,2011 Cat 336EL Tracked Excavator,"US $100,000","2,844 Hours"
454,2015 Cat 336F L Tracked Excavator,"US $121,000","7,154 Hours"
455,2020 Cat 308C CR Tracked Excavator,"US $150,700",NONE
456,2017 Cat 323F L Tracked Excavator,"US $169,750","4,531 Hours"
457,2016 Cat 349FL Tracked Excavator,"US $171,138",349 Hours
