id,name,winningbid,metersread
87,1999 Cat 312BL Tracked Excavator,"US $36,000","4,045 Hours"
88,2006 Cat 324DL Tracked Excavator,"US $66,000","8,101 Hours"
89,2006 Cat 305 CR Mini Excavator,"US $25,500",NONE
90,2013 Cat 305E CR Mini Excavator,"US $16,500",NONE
91,2016 Cat 305 E2 Mini Excavator,"US $34,000",969 Hours
92,2017 Cat 308E2 CR Tracked Excavator,"US $61,000","2,954 Hours"
93,2010 Cat 336D Tracked Excavator,"US $46,000","9,595 Hours"
94,2013 Cat 349EL Tracked Excavator,"US $33,000",NONE
95,1995 Cat 315L Tracked Excavator,"US $23,500","9,051 Hours"
96,2008 Cat 320D RR Tracked Excavator,"US $41,000","12,305 Hours"
97,2012 Cat 329EL Tracked Excavator,"US $58,000","11,093 Hours"
98,2002 Cat 325CL Tracked Excavator,"US $43,500",NONE
99,2011 Cat 305.5D Mini Excavator,"US $26,000","7,960 Hours"
100,2016 Cat 349FL Tracked Excavator,"US $79,000","9,441 Hours"
101,2001 Cat 330BL Tracked Excavator,"US $26,650","23,052 Hours"
102,2021 Cat 306 CR Mini Excavator,"US $75,000",482 Hours
103,2018 Cat 308 CR Tracked Excavator,"US $62,000","2,690 Hours"
104,2011 Cat 336DL Tracked Excavator,"US $81,000","4,179 Hours"
105,2019 Cat 302.7DCR Mini Excavator,"US $16,100","1,912 Hours"
106,2015 Cat 303.5E CR Mini Excavator,"US $41,000",105 Hours
107,2006 Cat 320C Tracked Excavator,"US $37,000","20,022 Hours"
108,2003 Cat 320B Tracked Excavator,"US $18,000","12,571 Hours"
109,2015 Cat 305.5E2CR Mini Excavator,"US $38,000","1,467 Hours"
110,2011 Cat 303.5D CR Mini Excavator,"US $24,500",0 Hours
111,2016 Cat 308E2CR Track Excavator,"US $56,500","3,051 Hours"
112,2018 Cat 308E2 CR Mini Excavator,"US $63,000","2,835 Hours"
113,2014 Cat 336 Tracked Excavator,"US $44,000","7,903 Hours"
114,2017 (unverified) Cat 336FL Track Excavator,"US $85,000","9,724 Hours"
115,2020 Cat 305E2 Mini Excavator,"US $59,000","1,002 Hours"
116,1985 Cat 215 Tracked Excavator,"US $19,000","9,042 Hours"
117,1990 Cat 235C Tracked Excavator,"US $22,000","14,548 Hours"
118,2012 Cat 336EL Tracked Excavator,"US $73,000","9,633 Hours"
119,2007 Cat 330DL Tracked Excavator,"US $46,000","12,915 Hours"
120,2002 Cat M312 Wheel Excavator,"US $11,500","4,426 Hours"
121,2016 Cat 308E2 CR Mini Excavator,"US $31,000","6,191 Hours"
